Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,23
Albania,ALB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.1
Algeria,DZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.7
American Samoa,ASM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Andorra,AND,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Angola,AGO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,15.4
Antigua and Barbuda,ATG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Argentina,ARG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.1
Armenia,ARM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.1
Aruba,ABW,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Australia,AUS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Austria,AUT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Azerbaijan,AZE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
"Bahamas, The",BHS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Bahrain,BHR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Bangladesh,BGD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,12.5
Barbados,BRB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.3
Belarus,BLR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Belgium,BEL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Belize,BLZ,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.7
Benin,BEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.2
Bermuda,BMU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Bhutan,BTN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Bolivia,BOL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,12.5
Bosnia and Herzegovina,BIH,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Botswana,BWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,28.9
Brazil,BRA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
British Virgin Islands,VGB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Brunei Darussalam,BRN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Bulgaria,BGR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.1
Burkina Faso,BFA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,12.4
Burundi,BDI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Cabo Verde,CPV,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,16.7
Cambodia,KHM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.7
Cameroon,CMR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,5.6
Canada,CAN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Cayman Islands,CYM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Central African Republic,CAF,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,46.1
Chad,TCD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,29.1
Channel Islands,CHI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Chile,CHL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3
China,CHN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Colombia,COL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.1
Comoros,COM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
"Congo, Dem. Rep.",COD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,40.2
"Congo, Rep.",COG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,36
Costa Rica,CRI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.1
Cote d'Ivoire,CIV,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,15
Croatia,HRV,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Cuba,CUB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Curacao,CUW,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Cyprus,CYP,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Czech Republic,CZE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Denmark,DNK,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Djibouti,DJI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,16.4
Dominica,DMA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,5.3
Dominican Republic,DOM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.4
Ecuador,ECU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,10.7
"Egypt, Arab Rep.",EGY,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.9
El Salvador,SLV,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,9.1
Equatorial Guinea,GNQ,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Eritrea,ERI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Estonia,EST,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Eswatini,SWZ,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,12.4
Ethiopia,ETH,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,14
Faroe Islands,FRO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Fiji,FJI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.3
Finland,FIN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
France,FRA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
French Polynesia,PYF,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4
Gabon,GAB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,16
"Gambia, The",GMB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,11.9
Georgia,GEO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,8.3
Germany,DEU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Ghana,GHA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.1
Gibraltar,GIB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Greece,GRC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Greenland,GRL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Grenada,GRD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Guam,GUM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Guatemala,GTM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,16.3
Guinea,GIN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Guinea-Bissau,GNB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Guyana,GUY,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6
Haiti,HTI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,48
Honduras,HND,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,13.2
"Hong Kong SAR, China",HKG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Hungary,HUN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Iceland,ISL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
India,IND,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,13.8
Indonesia,IDN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.4
"Iran, Islamic Rep.",IRN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,5.2
Iraq,IRQ,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,37.9
Ireland,IRL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Isle of Man,IMN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Israel,ISR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Italy,ITA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Jamaica,JAM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,8.8
Japan,JPN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Jordan,JOR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.7
Kazakhstan,KAZ,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.6
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,24.6
Kiribati,KIR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.5
"Korea, Dem. People's Rep.",PRK,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,42.9
"Korea, Rep.",KOR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Kosovo,XKX,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Kuwait,KWT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Kyrgyz Republic,KGZ,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.7
Lao PDR,LAO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,5.6
Latvia,LVA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Lebanon,LBN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.7
Lesotho,LSO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,26
Liberia,LBR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,36.6
Libya,LBY,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Liechtenstein,LIE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Lithuania,LTU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Luxembourg,LUX,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
"Macao SAR, China",MAC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.8
Madagascar,MDG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,42.3
Malawi,MWI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,16.5
Malaysia,MYS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.4
Maldives,MDV,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Mali,MLI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.3
Malta,MLT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Marshall Islands,MHL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Mauritania,MRT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,8.6
Mauritius,MUS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,5.9
Mexico,MEX,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.1
"Micronesia, Fed. Sts.",FSM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Moldova,MDA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Monaco,MCO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Mongolia,MNG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.3
Montenegro,MNE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Morocco,MAR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.7
Mozambique,MOZ,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,31.4
Myanmar,MMR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,8.1
Namibia,NAM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,20
Nauru,NRU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Nepal,NPL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.2
Netherlands,NLD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
New Caledonia,NCL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.8
New Zealand,NZL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Nicaragua,NIC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,17.6
Niger,NER,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Nigeria,NGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,10
North Macedonia,MKD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.7
Northern Mariana Islands,MNP,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Norway,NOR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Oman,OMN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,8.4
Pakistan,PAK,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,12.1
Palau,PLW,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Panama,PAN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.5
Papua New Guinea,PNG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,25.1
Paraguay,PRY,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.8
Peru,PER,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.6
Philippines,PHL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,10.9
Poland,POL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Portugal,PRT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Puerto Rico,PRI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Qatar,QAT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Romania,ROU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Russian Federation,RUS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,34.5
Samoa,WSM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.7
San Marino,SMR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Sao Tome and Principe,STP,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,11.8
Saudi Arabia,SAU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.7
Senegal,SEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.9
Serbia,SRB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4
Seychelles,SYC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Sierra Leone,SLE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,26.2
Singapore,SGP,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Sint Maarten (Dutch part),SXM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Slovak Republic,SVK,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.5
Slovenia,SVN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Solomon Islands,SLB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,17.6
Somalia,SOM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,58.7
South Africa,ZAF,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,5.5
South Sudan,SSD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Spain,ESP,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Sri Lanka,LKA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,5.9
St. Kitts and Nevis,KNA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
St. Lucia,LCA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
St. Martin (French part),MAF,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
St. Vincent and the Grenadines,VCT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,5.5
Sudan,SDN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,11.8
Suriname,SUR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,8.4
Sweden,SWE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Switzerland,CHE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Syrian Arab Republic,SYR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Tajikistan,TJK,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Tanzania,TZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,24.1
Thailand,THA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.7
Timor-Leste,TLS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,24
Togo,TGO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,21.2
Tonga,TON,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Trinidad and Tobago,TTO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.8
Tunisia,TUN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Turkey,TUR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Turkmenistan,TKM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.7
Turks and Caicos Islands,TCA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Tuvalu,TUV,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Uganda,UGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Ukraine,UKR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
United Arab Emirates,ARE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.2
United Kingdom,GBR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
United States,USA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Uruguay,URY,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Uzbekistan,UZB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Vanuatu,VUT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,9.6
"Venezuela, RB",VEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,22.2
Vietnam,VNM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.2
Virgin Islands (U.S.),VIR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
West Bank and Gaza,PSE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
"Yemen, Rep.",YEM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,46.6
Zambia,ZMB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Zimbabwe,ZWE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Africa Eastern and Southern,AFE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,23.2948089875467
Africa Western and Central,AFW,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,12.0050427251117
Arab World,ARB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,13.6713262050101
Caribbean small states,CSS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.59015629549931
Central Europe and the Baltics,CEB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.64720674243599
Early-demographic dividend,EAR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,11.2944184963966
East Asia & Pacific,EAS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.4222453245202
East Asia & Pacific (excluding high income),EAP,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.62933779359691
East Asia & Pacific (IDA & IBRD countries),TEA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.1551078520828
Euro area,EMU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.53188134311255
Europe & Central Asia,ECS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.60548544160703
Europe & Central Asia (excluding high income),ECA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.7095616805559
Europe & Central Asia (IDA & IBRD countries),TEC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.68966983940169
European Union,EUU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.53389622386112
Fragile and conflict affected situations,FCS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,20.2952815580875
Heavily indebted poor countries (HIPC),HPC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,22.357581716726
High income,HIC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.61117250752059
IBRD only,IBD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.29679592088848
IDA & IBRD total,IBT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,9.57842975019729
IDA blend,IDB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,12.0983305641372
IDA only,IDX,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,19.9857790111694
IDA total,IDA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,17.1126676576595
Late-demographic dividend,LTE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.55812190672252
Latin America & Caribbean,LCN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.93625838912263
Latin America & Caribbean (excluding high income),LAC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.3123660481188
Latin America & the Caribbean (IDA & IBRD countries),TLA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.01884859367631
Least developed countries: UN classification,LDC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,20.6065597628299
Low & middle income,LMY,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,9.71648472052322
Low income,LIC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,27.3561191110231
Lower middle income,LMC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,11.4786729360143
Middle East & North Africa,MEA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,10.3828491902129
Middle East & North Africa (excluding high income),MNA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,11.5392482484079
Middle East & North Africa (IDA & IBRD countries),TMN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,11.5392482484079
Middle income,MIC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,8.15813237662443
North America,NAC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Not classified,INX,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
OECD members,OED,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.01647579625956
Other small states,OSS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,15.2304758869815
Pacific island small states,PSS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,9.8556483281954
Post-demographic dividend,PST,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.50562852612545
Pre-demographic dividend,PRE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,21.427764190206
Small states,SST,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,13.1472710062888
South Asia,SAS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,13.4306242962085
South Asia (IDA & IBRD),TSA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,13.4306242962085
Sub-Saharan Africa,SSF,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,18.5201176865709
Sub-Saharan Africa (excluding high income),SSA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,18.5201176865709
Sub-Saharan Africa (IDA & IBRD countries),TSS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,18.5201176865709
Upper middle income,UMC,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.91975817145132
World,WLD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,8.2
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 05/25/2022,,,,
